category,quantity,description,available_quantity,location,equipment_photo_url,stats
Basketball,28,Balones de baloncesto,28,CM-104,equipment_photos/4hquCGFtss90V6JrticpBjC9FWE5HrirSwyud3GY.png,
Basketball,6,Balones de baloncesto 3x3,6,CM-104,equipment_photos/t5fzr4MsR7t0kuR6suRquqqYZEJj2yBgErWCwe2v.png,
Basketball,67,Mallas de baloncesto,67,"CM-104, CM-101B",equipment_photos/6pMePZRsr33SERoA7eww7UAUdjzYfewgyiiMRwxI.png,
Basketball,24,Gafas dribleo,24,CM-104,equipment_photos/R7aMNbZT1wlQQczZv3bhdEHRVy67sr4YY7jmbhlc.png,
Basketball,3,Racks para bolas,3,CM-101B,equipment_photos/xkEjguYhc3jjpaVJiOWP9cNkACdIOSkuIYOFfdCH.png,
Volleyball,22,Balones volleyball azul,22,CM-104,equipment_photos/Ox36MeuyeFDmzdA7mLqkxWwYFSS67tAcdWZ635Ns.png,
Volleyball,5,Mallas de volleyball,5,"CM-213, CM-101B",equipment_photos/uGsGU0Vz0pgZUdZmvrvSuwyrCeg6CBMIHiDEy1bn.png,
Soccer,26,Balones futbol,26,CM-104,equipment_photos/y6T4notKE7MYHne3iws8EpRIFZENjnW5UzYhkqcQ.png,
Soccer,4,Porterias,4,CM-213,equipment_photos/HcmaQYZIQaLkp1oWY7ybSgba6C0AgjuA4CPYVPuU.png,
Tennis,6,Raquetas de tenis,6,CM-104,equipment_photos/AbCIFNCa7KB6oRLITDJmEq7pGah0Obp6EtfRzZmx.png,
Tennis,50,Bolas de tenis,50,CM-101B,equipment_photos/ghJMgbTwALc3AXTLWUxa6AkT1qel6HbqnOMnB2Fq.png,
Tennis,2,Tennis Tutor,2,TBD,equipment_photos/z7rGwOswNT4O7ElnJbobvowd7BL4GFBeB4rphT0V.png,
Tennis,4,Mallas de Tennis,4,TBD,equipment_photos/xzkwICSaHwU478eCcDW3MCxwEgKolUhOzjdaZOkM.png,
Baseball,9,Bates de aluminio softball,9,CM-213,equipment_photos/Woi0cUOcpWQ7y1RHqRYgGZ1CWGVsLhuDlxaUf5i5.png,
